"Code","Description","Condition","Sub-condition"
"F70","Mild mental retardation","Intellectual disability","Intellectual disability"
"F71","Moderate mental retardation","Intellectual disability","Intellectual disability"
"F72","Severe mental retardation","Intellectual disability","Intellectual disability"
"F73","Profound mental retardation","Intellectual disability","Intellectual disability"
"F78","Other mental retardation","Intellectual disability","Intellectual disability"
"F79","Unspecified mental retardation","Intellectual disability","Intellectual disability"
"F81.9","Developmental disorder of scholastic skills, unspecified","Intellectual disability","Intellectual disability"
